1059954213	20220824	202208	2022	2022.6411	AFGINSTALMED	TALIBAN	AFG	TAL				INS	MED		AFG	AFGHANISTAN	AFG								1	181	181	18	4	-9.0	2	1	2	-8.64661654135338	4	Mazar-E-Sharif, Balkh, Afghanistan	AF	AF30	3488	36.7069	67.1122	-3383832	4	Yar Mohammad, Nimruz, Afghanistan	AF	AF19	3675	31.1897	62.07	-3396339	4	Mazar-E-Sharif, Balkh, Afghanistan	AF	AF30	3488	36.7069	67.1122	-3383832	20220824103000	https://www.khaama.com/taliban-kills-two-robbers-in-northern-afghanistan-89650/
1059954214	20220824	202208	2022	2022.6411	AFGINSTALMED	TALIBAN	AFG	TAL				INS	MED		AFG	AFGHANISTAN	AFG								1	181	181	18	4	-9.0	6	1	6	-8.64661654135338	4	Yar Mohammad, Nimruz, Afghanistan	AF	AF19	3675	31.1897	62.07	-3396339	4	Yar Mohammad, Nimruz, Afghanistan	AF	AF19	3675	31.1897	62.07	-3396339	4	Yar Mohammad, Nimruz, Afghanistan	AF	AF19	3675	31.1897	62.07	-3396339	20220824103000	https://www.khaama.com/taliban-kills-two-robbers-in-northern-afghanistan-89650/
1059954215	20220824	202208	2022	2022.6411	AFGINSTALMED	TALIBAN	AFG	TAL				INS	MED		COP	POLICE DISTRICT						COP			1	181	181	18	4	-9.0	2	1	2	-8.64661654135338	4	Yar Mohammad, Nimruz, Afghanistan	AF	AF19	3675	31.1897	62.07	-3396339	4	Mazar-E-Sharif, Balkh, Afghanistan	AF	AF30	3488	36.7069	67.1122	-3383832	4	Yar Mohammad, Nimruz, Afghanistan	AF	AF19	3675	31.1897	62.07	-3396339	20220824103000	https://www.khaama.com/taliban-kills-two-robbers-in-northern-afghanistan-89650/
1059954216	20220824	202208	2022	2022.6411	AFGINSTALMED	TALIBAN	AFG	TAL				INS	MED		CRM	ROBBER						CRM			1	190	190	19	4	-10.0	4	1	4	-8.64661654135338	4	Balkh, Balkh, Afghanistan	AF	AF30	3480	36.7564	66.8972	-3370021	4	Balkh, Balkh, Afghanistan	AF	AF30	3480	36.7564	66.8972	-3370021	4	Balkh, Balkh, Afghanistan	AF	AF30	3480	36.7564	66.8972	-3370021	20220824103000	https://www.khaama.com/taliban-kills-two-robbers-in-northern-afghanistan-89650/
1059954217	20220824	202208	2022	2022.6411	AFGINSTALMED	TALIBAN	AFG	TAL				INS	MED		UAF	ARMED MEN						UAF			1	181	181	18	4	-9.0	1	1	1	-8.64661654135338	4	Mazar-E-Sharif, Balkh, Afghanistan	AF	AF30	3488	36.7069	67.1122	-3383832	4	Mazar-E-Sharif, Balkh, Afghanistan	AF	AF30	3488	36.7069	67.1122	-3383832	4	Mazar-E-Sharif, Balkh, Afghanistan	AF	AF30	3488	36.7069	67.1122	-3383832	20220824103000	https://www.khaama.com/taliban-kills-two-robbers-in-northern-afghanistan-89650/
1059954218	20220824	202208	2022	2022.6411	AFGINSTALMED	TALIBAN	AFG	TAL				INS	MED		UAF	ARMED MEN						UAF			1	181	181	18	4	-9.0	1	1	1	-8.64661654135338	4	Yar Mohammad, Nimruz, Afghanistan	AF	AF19	3675	31.1897	62.07	-3396339	4	Mazar-E-Sharif, Balkh, Afghanistan	AF	AF30	3488	36.7069	67.1122	-3383832	4	Mazar-E-Sharif, Balkh, Afghanistan	AF	AF30	3488	36.7069	67.1122	-3383832	20220824103000	https://www.khaama.com/taliban-kills-two-robbers-in-northern-afghanistan-89650/
1059954219	20220824	202208	2022	2022.6411	AFR	AFRICA	AFR																		1	010	010	01	1	0.0	6	1	6	-1.8018018018018	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	0								4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	20220824103000	https://www.ecr.co.za/news/news/everything-is-too-costly-laments-national-shutdown-supporters-in-durban/
1059954220	20220824	202208	2022	2022.6411	AFR	AFRICA	AFR																		0	043	043	04	1	2.8	1	1	1	-1.79186767746382	2	California, United States	US	USCA		36.17	-119.746	CA	0								1	Greenland	GL	GL		72	-40	GL	20220824103000	https://www.washingtonpost.com/climate-environment/2022/08/24/methane-hydrates-ocean-global-warming/
1059954221	20220824	202208	2022	2022.6411	AFR	AFRICA	AFR																		0	043	043	04	1	2.8	4	1	4	-1.79186767746382	1	Greenland	GL	GL		72	-40	GL	0								1	Greenland	GL	GL		72	-40	GL	20220824103000	https://www.washingtonpost.com/climate-environment/2022/08/24/methane-hydrates-ocean-global-warming/
1059954222	20220824	202208	2022	2022.6411	AFR	AFRICA	AFR																		1	051	051	05	1	3.4	6	1	6	0.27586206896552	1	United Kingdom	UK	UK		54	-4	UK	0								1	United Kingdom	UK	UK		54	-4	UK	20220824103000	https://mareeg.com/is-marxism-leninism-a-eurocentric-racist-ideology/
1059954223	20220824	202208	2022	2022.6411	AFR	AFRICA	AFR								NAM	WINDHOEK	NAM								1	036	036	03	1	4.0	10	1	10	4.21052631578947	1	Ethiopia	ET	ET		8	38	ET	1	Ethiopia	ET	ET		8	38	ET	1	Ethiopia	ET	ET		8	38	ET	20220824103000	https://www.uneca.org/stories/expert-group-assess-africa%E2%80%99s-progress-in-meeting-the-sustainable-development-goals-and
1059954224	20220824	202208	2022	2022.6411	AFR	AFRICA	AFR								USA	UNITED STATES	USA								1	051	051	05	1	3.4	4	1	4	0.27586206896552	1	Egypt	EG	EG		27	30	EG	1	Egypt	EG	EG		27	30	EG	1	Egypt	EG	EG		27	30	EG	20220824103000	https://mareeg.com/is-marxism-leninism-a-eurocentric-racist-ideology/
1059954225	20220824	202208	2022	2022.6411	AFR	AFRICA	AFR								ZAF	GAUTENG	ZAF								1	173	173	17	4	-5.0	2	1	2	-5.8252427184466	5	Gauteng, Gauteng, South Africa	SF	SF06	77346	-26.0833	28.25	204226	5	Gauteng, Gauteng, South Africa	SF	SF06	77346	-26.0833	28.25	204226	5	Gauteng, Gauteng, South Africa	SF	SF06	77346	-26.0833	28.25	204226	20220824103000	https://www.enca.com/news/hawks-no-high-profile-arrests-july-unrest
1059954226	20220824	202208	2022	2022.6411	AGR	FARMER						AGR			BUS	BANK						BUS			1	070	070	07	2	7.0	5	1	5	-0.93457943925234	0								0								0								20220824103000	https://www.khq.com/news/malden-farmers-food-bank-cow-shot-in-the-head-healed-in-time-to-be-donated/article_b9fdfecc-2374-11ed-96e0-03718544c98f.html
1059954227	20220824	202208	2022	2022.6411	AGR	FARMER						AGR			BUS	BANK						BUS			1	193	193	19	4	-10.0	10	1	10	-0.93457943925234	0								0								0								20220824103000	https://www.khq.com/news/malden-farmers-food-bank-cow-shot-in-the-head-healed-in-time-to-be-donated/article_b9fdfecc-2374-11ed-96e0-03718544c98f.html
1059954228	20220824	202208	2022	2022.6411	ARE	UNITED ARAB EMIRATES	ARE								BHR	BAHRAIN	BHR								0	030	030	03	1	4.0	1	1	1	-0.45662100456621	1	United Arab Emirates	AE	AE		24	54	AE	1	United Arab Emirates	AE	AE		24	54	AE	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	20220824103000	https://www.aa.com.tr/en/africa/tunisia-says-committed-by-arab-boycott-of-israel/2668286
1059954229	20220824	202208	2022	2022.6411	ARE	UNITED ARAB EMIRATES	ARE								BHR	BAHRAIN	BHR								0	030	030	03	1	4.0	4	1	4	-0.45662100456621	1	United Arab Emirates	AE	AE		24	54	AE	1	Bahrain	BA	BA		26	50.5	BA	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	20220824103000	https://www.aa.com.tr/en/africa/tunisia-says-committed-by-arab-boycott-of-israel/2668286
1059954230	20220824	202208	2022	2022.6411	ARE	UNITED ARAB EMIRATES	ARE								BHR	BAHRAIN	BHR								0	050	050	05	1	3.5	1	1	1	-0.45662100456621	1	United Arab Emirates	AE	AE		24	54	AE	1	United Arab Emirates	AE	AE		24	54	AE	1	Morocco	MO	MO		32	-5	MO	20220824103000	https://www.aa.com.tr/en/africa/tunisia-says-committed-by-arab-boycott-of-israel/2668286
1059954231	20220824	202208	2022	2022.6411	ARE	UNITED ARAB EMIRATES	ARE								BHR	BAHRAIN	BHR								0	050	050	05	1	3.5	4	1	4	-0.45662100456621	1	United Arab Emirates	AE	AE		24	54	AE	1	Bahrain	BA	BA		26	50.5	BA	1	Morocco	MO	MO		32	-5	MO	20220824103000	https://www.aa.com.tr/en/africa/tunisia-says-committed-by-arab-boycott-of-israel/2668286
1059954232	20220824	202208	2022	2022.6411	ARE	UNITED ARAB EMIRATES	ARE								ISR	ISRAEL	ISR								0	050	050	05	1	3.5	5	1	5	-0.45662100456621	1	United Arab Emirates	AE	AE		24	54	AE	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	1	Morocco	MO	MO		32	-5	MO	20220824103000	https://www.aa.com.tr/en/africa/tunisia-says-committed-by-arab-boycott-of-israel/2668286
1059954233	20220824	202208	2022	2022.6411	ARE	UNITED ARAB EMIRATES	ARE								MAR	MOROCCO	MAR								0	030	030	03	1	4.0	4	1	4	-0.45662100456621	1	United Arab Emirates	AE	AE		24	54	AE	1	Morocco	MO	MO		32	-5	MO	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	20220824103000	https://www.aa.com.tr/en/africa/tunisia-says-committed-by-arab-boycott-of-israel/2668286
1059954234	20220824	202208	2022	2022.6411	ARE	UNITED ARAB EMIRATES	ARE								MAR	MOROCCO	MAR								0	030	030	03	1	4.0	1	1	1	-0.45662100456621	1	United Arab Emirates	AE	AE		24	54	AE	1	Sudan	SU	SU		16	30	SU	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	20220824103000	https://www.aa.com.tr/en/africa/tunisia-says-committed-by-arab-boycott-of-israel/2668286
1059954235	20220824	202208	2022	2022.6411	ARE	UNITED ARAB EMIRATES	ARE								MAR	MOROCCO	MAR								0	050	050	05	1	3.5	4	1	4	-0.45662100456621	1	United Arab Emirates	AE	AE		24	54	AE	1	Morocco	MO	MO		32	-5	MO	1	Morocco	MO	MO		32	-5	MO	20220824103000	https://www.aa.com.tr/en/africa/tunisia-says-committed-by-arab-boycott-of-israel/2668286
1059954236	20220824	202208	2022	2022.6411	ARE	UNITED ARAB EMIRATES	ARE								MAR	MOROCCO	MAR								0	050	050	05	1	3.5	1	1	1	-0.45662100456621	1	United Arab Emirates	AE	AE		24	54	AE	1	Sudan	SU	SU		16	30	SU	1	Morocco	MO	MO		32	-5	MO	20220824103000	https://www.aa.com.tr/en/africa/tunisia-says-committed-by-arab-boycott-of-israel/2668286
1059954237	20220824	202208	2022	2022.6411	ARE	UNITED ARAB EMIRATES	ARE								SDN	SUDAN	SDN								0	030	030	03	1	4.0	1	1	1	-0.45662100456621	1	United Arab Emirates	AE	AE		24	54	AE	1	Bahrain	BA	BA		26	50.5	BA	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	20220824103000	https://www.aa.com.tr/en/africa/tunisia-says-committed-by-arab-boycott-of-israel/2668286
1059954238	20220824	202208	2022	2022.6411	ARE	UNITED ARAB EMIRATES	ARE								SDN	SUDAN	SDN								0	030	030	03	1	4.0	4	1	4	-0.45662100456621	1	United Arab Emirates	AE	AE		24	54	AE	1	Sudan	SU	SU		16	30	SU	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	20220824103000	https://www.aa.com.tr/en/africa/tunisia-says-committed-by-arab-boycott-of-israel/2668286
1059954239	20220824	202208	2022	2022.6411	ARE	UNITED ARAB EMIRATES	ARE								SDN	SUDAN	SDN								0	050	050	05	1	3.5	1	1	1	-0.45662100456621	1	United Arab Emirates	AE	AE		24	54	AE	1	Bahrain	BA	BA		26	50.5	BA	1	Morocco	MO	MO		32	-5	MO	20220824103000	https://www.aa.com.tr/en/africa/tunisia-says-committed-by-arab-boycott-of-israel/2668286
1059954240	20220824	202208	2022	2022.6411	ARE	UNITED ARAB EMIRATES	ARE								SDN	SUDAN	SDN								0	050	050	05	1	3.5	4	1	4	-0.45662100456621	1	United Arab Emirates	AE	AE		24	54	AE	1	Sudan	SU	SU		16	30	SU	1	Morocco	MO	MO		32	-5	MO	20220824103000	https://www.aa.com.tr/en/africa/tunisia-says-committed-by-arab-boycott-of-israel/2668286
1059954241	20220824	202208	2022	2022.6411	ARM	ARMENIA	ARM																		1	017	017	01	1	0.0	6	1	6	1.18343195266272	1	South Korea	KS	KS		37	127.5	KS	0								1	South Korea	KS	KS		37	127.5	KS	20220824103000	https://armenpress.am/eng/news/1090953/
1059954242	20220824	202208	2022	2022.6411	ARM	ARMENIA	ARM																		1	042	042	04	1	1.9	6	1	6	1.18343195266272	4	Zangezur, Syunik', Armenia	AM	AM08	4928	39.2075	46.4058	-2324916	0								4	Zangezur, Syunik', Armenia	AM	AM08	4928	39.2075	46.4058	-2324916	20220824103000	https://armenpress.am/eng/news/1090953/
1059954243	20220824	202208	2022	2022.6411	AUS	AUSTRALIA	AUS																		1	040	040	04	1	1.0	7	1	4	5.34016093635699	4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	0								4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	20220824103000	https://www.thelawyermag.com/au/news/general/dmaw-lawyers-homegrown-star-had-to-act-opposite-her-first-boss-in-the-supreme-court/417921
1059954244	20220824	202208	2022	2022.6411	AUS	AUSTRALIAN	AUS																		1	051	051	05	1	3.4	42	1	10	-2.77777777777778	4	Monarto, South Australia, Australia	AS	AS05	5292	-35.05	139.133	-1588320	0								4	Monarto, South Australia, Australia	AS	AS05	5292	-35.05	139.133	-1588320	20220824103000	https://www.9news.com.au/national/south-australia-zoo-welcomes-endangered-animal-baby-boom/0b6989b1-3ddb-4270-9136-63d955cf1c54
1059954245	20220824	202208	2022	2022.6411	AUS	AUSTRALIA	AUS																		1	130	130	13	3	-4.4	12	1	6	-2.77777777777778	4	Monarto, South Australia, Australia	AS	AS05	5292	-35.05	139.133	-1588320	0								4	Monarto, South Australia, Australia	AS	AS05	5292	-35.05	139.133	-1588320	20220824103000	https://www.9news.com.au/national/south-australia-zoo-welcomes-endangered-animal-baby-boom/0b6989b1-3ddb-4270-9136-63d955cf1c54
1059954246	20220824	202208	2022	2022.6411	AUS	AUSTRALIAN	AUS																		1	130	130	13	3	-4.4	10	1	10	-2.77777777777778	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	0								4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20220824103000	https://www.9news.com.au/national/south-australia-zoo-welcomes-endangered-animal-baby-boom/0b6989b1-3ddb-4270-9136-63d955cf1c54
1059954247	20220824	202208	2022	2022.6411	AUS	AUSTRALIA	AUS								BUS	INDUSTRY						BUS			1	051	051	05	1	3.4	10	1	10	6.35838150289017	4	Bayswater, Victoria, Australia	AS	AS07	5389	-37.85	145.267	-1557948	4	Bayswater, Victoria, Australia	AS	AS07	5389	-37.85	145.267	-1557948	4	Bayswater, Victoria, Australia	AS	AS07	5389	-37.85	145.267	-1557948	20220824103000	https://www.european-rubber-journal.com/article/2091929/flexitallic-acquies-australia-seals-maker
1059954248	20220824	202208	2022	2022.6411	AUS	AUSTRALIA	AUS								BUS	BUSINESS						BUS			0	190	190	19	4	-10.0	5	1	5	1.95865070729053	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20220824103000	https://www.afr.com/work-and-careers/workplace/unions-push-for-sector-wide-bargaining-rights-20220824-p5bcg0
1059954249	20220824	202208	2022	2022.6411	AUS	MELBOURNE	AUS								COP	PRISON						COP			1	173	173	17	4	-5.0	4	2	4	-9	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20220824103000	https://www.brisbanetimes.com.au/national/victoria/accused-weapons-stockpiler-doomsday-prepper-given-bail-despite-safety-concerns-20220824-p5bcay.html
1059954250	20220824	202208	2022	2022.6411	AUS	AUSTRALIA	AUS								GBR	UNITED KINGDOM	GBR								1	010	010	01	1	0.0	2	1	2	6.35838150289017	4	Perth, Western Australia, Australia	AS	AS08	5533	-31.9333	115.833	-1594675	4	Perth, Western Australia, Australia	AS	AS08	5533	-31.9333	115.833	-1594675	4	Perth, Western Australia, Australia	AS	AS08	5533	-31.9333	115.833	-1594675	20220824103000	https://www.european-rubber-journal.com/article/2091929/flexitallic-acquies-australia-seals-maker
1059954251	20220824	202208	2022	2022.6411	AUS	PERTH	AUS								GBR	UNITED KINGDOM	GBR								1	010	010	01	1	0.0	8	1	8	6.35838150289017	4	Perth, Western Australia, Australia	AS	AS08	5533	-31.9333	115.833	-1594675	1	United Kingdom	UK	UK		54	-4	UK	4	Perth, Western Australia, Australia	AS	AS08	5533	-31.9333	115.833	-1594675	20220824103000	https://www.european-rubber-journal.com/article/2091929/flexitallic-acquies-australia-seals-maker
1059954252	20220824	202208	2022	2022.6411	AUS	PERTH	AUS								GBR	UNITED KINGDOM	GBR								1	057	057	05	1	8.0	10	1	10	6.35838150289017	4	Bayswater, Victoria, Australia	AS	AS07	5389	-37.85	145.267	-1557948	4	Bayswater, Victoria, Australia	AS	AS07	5389	-37.85	145.267	-1557948	4	Bayswater, Victoria, Australia	AS	AS07	5389	-37.85	145.267	-1557948	20220824103000	https://www.european-rubber-journal.com/article/2091929/flexitallic-acquies-australia-seals-maker
1059954253	20220824	202208	2022	2022.6411	AUS	ADELAIDE	AUS								JUD	LAWYER						JUD			1	042	042	04	1	1.9	5	1	5	5.34016093635699	4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	20220824103000	https://www.thelawyermag.com/au/news/general/dmaw-lawyers-homegrown-star-had-to-act-opposite-her-first-boss-in-the-supreme-court/417921
1059954254	20220824	202208	2022	2022.6411	AUSELI	JOHN HOWARD	AUS					ELI			EURCVL	EUROPE	EUR					CVL			0	051	051	05	1	3.4	8	1	8	-2.57387988560534	4	Cuttington, Grand Bassa, Liberia	LI	LI11	147187	5.61667	-9.7	-2130940	4	Cuttington, Grand Bassa, Liberia	LI	LI11	147187	5.61667	-9.7	-2130940	4	Cuttington, Grand Bassa, Liberia	LI	LI11	147187	5.61667	-9.7	-2130940	20220824103000	https://allafrica.com/stories/202208240115.html
1059954255	20220824	202208	2022	2022.6411	AUSELI	JOHN HOWARD	AUS					ELI			EURCVL	EUROPE	EUR					CVL			0	051	051	05	1	3.4	2	1	2	-2.57387988560534	4	University Of Liberia, Montserrado, Liberia	LI	LI14	147290	6.3	-10.8	-2133519	4	University Of Liberia, Montserrado, Liberia	LI	LI14	147290	6.3	-10.8	-2133519	4	University Of Liberia, Montserrado, Liberia	LI	LI14	147290	6.3	-10.8	-2133519	20220824103000	https://allafrica.com/stories/202208240115.html
1059954256	20220824	202208	2022	2022.6411	AUSGOV	AUSTRALIA	AUS					GOV													1	020	020	02	1	3.0	4	1	2	-12.037037037037	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	0								4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20220824103000	https://www.9news.com.au/national/domestic-violence-abs-figures-coercive-control-attorney-general-mark-dreyfus-response/d8e221f6-b7b8-4994-a298-270733913c83
1059954257	20220824	202208	2022	2022.6411	AUSJUD	MELBOURNE	AUS					JUD			COP	PRISON						COP			1	173	173	17	4	-5.0	6	2	6	-9	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20220824103000	https://www.brisbanetimes.com.au/national/victoria/accused-weapons-stockpiler-doomsday-prepper-given-bail-despite-safety-concerns-20220824-p5bcay.html
1059954258	20220824	202208	2022	2022.6411	AZE	AZERBAIJANI	AZE								NGOEDU	INTERNATIONAL COUNCIL OF MUSEUMS						NGO	EDU		1	044	044	04	1	2.5	10	1	10	3.59408033826638	1	Azerbaijan	AJ	AJ		40.5	47.5	AJ	1	Azerbaijan	AJ	AJ		40.5	47.5	AJ	1	Azerbaijan	AJ	AJ		40.5	47.5	AJ	20220824103000	https://menafn.com/1104747196/Azerbaijan-Worthily-Represents-Its-Legacy-At-Intl-Level
1059954259	20220824	202208	2022	2022.6411	AZEGOV	AZERBAIJAN	AZE					GOV			AZEGOV	ILHAM ALIYEV	AZE					GOV			1	060	060	06	2	6.0	10	1	10	1.51515151515151	0								0								0								20220824103000	https://menafn.com/1104747193/President-Of-Azerbaijan-Ilham-Aliyev-Awarded-Highest-Order-Of-KazakhstanAltyn-Kyran-Golden-Eagle-PHOTO
1059954260	20220824	202208	2022	2022.6411	AZEGOV	AZERBAIJAN	AZE					GOV			KAZ	KAZAKHSTAN	KAZ								1	060	060	06	2	6.0	20	1	20	0.769230769230765	0								0								0								20220824103000	https://menafn.com/1104747198/President-Of-Azerbaijan-Ilham-Aliyev-Awarded-Kazakhstans-Highest-Order
1059954261	20220824	202208	2022	2022.6411	BEL	BELGIUM	BEL								HLH	HOSPITAL						HLH			1	010	010	01	1	0.0	2	1	2	-1.85614849187935	1	Belgium	BE	BE		50.833333	4	BE	1	Belgium	BE	BE		50.833333	4	BE	1	Belgium	BE	BE		50.833333	4	BE	20220824103000	https://medicalxpress.com/news/2022-08-european-hospitals-drones-delivery-human.html
1059954262	20220824	202208	2022	2022.6411	BEL	BRUSSELS	BEL								RUS	RUSSIAN	RUS								1	017	017	01	1	0.0	7	1	7	3.81679389312977	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	1	Russia	RS	RS		60	100	RS	1	Ukraine	UP	UP		49	32	UP	20220824103000	https://www.northwestgeorgianews.com/tribune/regional/nato-chief-hails-ukrainian-armed-forces-on-countrys-independence-day/article_276f2d9a-ba09-5cae-855a-c53c47318ba7.html
1059954263	20220824	202208	2022	2022.6411	BEL	BRUSSELS	BEL								UKRMIL	UKRAINE	UKR					MIL			1	017	017	01	1	0.0	3	1	3	3.81679389312977	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	20220824103000	https://www.northwestgeorgianews.com/tribune/regional/nato-chief-hails-ukrainian-armed-forces-on-countrys-independence-day/article_276f2d9a-ba09-5cae-855a-c53c47318ba7.html
1059954264	20220824	202208	2022	2022.6411	BEL	BRUSSELS	BEL								UKRMIL	UKRAINE	UKR					MIL			1	051	051	05	1	3.4	5	1	5	3.81679389312977	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	20220824103000	https://www.northwestgeorgianews.com/tribune/regional/nato-chief-hails-ukrainian-armed-forces-on-countrys-independence-day/article_276f2d9a-ba09-5cae-855a-c53c47318ba7.html
1059954265	20220824	202208	2022	2022.6411	BEL	BRUSSELS	BEL								UKRMIL	UKRAINE	UKR					MIL			1	051	051	05	1	3.4	5	1	5	3.81679389312977	1	Ukraine	UP	UP		49	32	UP	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20220824103000	https://www.northwestgeorgianews.com/tribune/regional/nato-chief-hails-ukrainian-armed-forces-on-countrys-independence-day/article_276f2d9a-ba09-5cae-855a-c53c47318ba7.html
1059954266	20220824	202208	2022	2022.6411	BGD	DHAKA	BGD																		1	040	040	04	1	1.0	1	1	1	-5.75757575757576	4	Anjuna, Goa, India	IN	IN33	70122	15.5833	73.7333	-2088938	0								4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20220824103000	https://www.ndtv.com/india-news/bjp-leader-sonali-phogats-brother-claims-she-was-murdered-in-goa-3282165
1059954267	20220824	202208	2022	2022.6411	BGD	DHAKA	BGD																		1	114	114	11	3	-2.0	3	1	3	-5.75757575757576	4	Jaipur, Rajasthan, India	IN	IN24	17847	26.9167	75.8167	-2098033	0								4	Jaipur, Rajasthan, India	IN	IN24	17847	26.9167	75.8167	-2098033	20220824103000	https://www.ndtv.com/india-news/bjp-leader-sonali-phogats-brother-claims-she-was-murdered-in-goa-3282165
1059954268	20220824	202208	2022	2022.6411	BGD	DHAKA	BGD								COP	POLICE						COP			0	040	040	04	1	1.0	1	1	1	-5.75757575757576	4	Hisar, Haryana, India	IN	IN10	17658	29.1667	75.7167	-2097522	4	Hisar, Haryana, India	IN	IN10	17658	29.1667	75.7167	-2097522	4	Anjuna, Goa, India	IN	IN33	70122	15.5833	73.7333	-2088938	20220824103000	https://www.ndtv.com/india-news/bjp-leader-sonali-phogats-brother-claims-she-was-murdered-in-goa-3282165
1059954269	20220824	202208	2022	2022.6411	BGD	DHAKA	BGD								COP	POLICE						COP			0	040	040	04	1	1.0	1	1	1	-5.75757575757576	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Anjuna, Goa, India	IN	IN33	70122	15.5833	73.7333	-2088938	4	Anjuna, Goa, India	IN	IN33	70122	15.5833	73.7333	-2088938	20220824103000	https://www.ndtv.com/india-news/bjp-leader-sonali-phogats-brother-claims-she-was-murdered-in-goa-3282165
1059954270	20220824	202208	2022	2022.6411	BGD	DHAKA	BGD								COP	POLICE						COP			0	043	043	04	1	2.8	1	1	1	-5.75757575757576	4	Hisar, Haryana, India	IN	IN10	17658	29.1667	75.7167	-2097522	4	Hisar, Haryana, India	IN	IN10	17658	29.1667	75.7167	-2097522	4	Anjuna, Goa, India	IN	IN33	70122	15.5833	73.7333	-2088938	20220824103000	https://www.ndtv.com/india-news/bjp-leader-sonali-phogats-brother-claims-she-was-murdered-in-goa-3282165
1059954271	20220824	202208	2022	2022.6411	BGD	DHAKA	BGD								COP	POLICE						COP			0	043	043	04	1	2.8	1	1	1	-5.75757575757576	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Anjuna, Goa, India	IN	IN33	70122	15.5833	73.7333	-2088938	4	Hisar, Haryana, India	IN	IN10	17658	29.1667	75.7167	-2097522	20220824103000	https://www.ndtv.com/india-news/bjp-leader-sonali-phogats-brother-claims-she-was-murdered-in-goa-3282165
1059954272	20220824	202208	2022	2022.6411	BGD	DHAKA	BGD								COP	POLICE						COP			0	114	114	11	3	-2.0	1	1	1	-5.75757575757576	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Jaipur, Rajasthan, India	IN	IN24	17847	26.9167	75.8167	-2098033	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20220824103000	https://www.ndtv.com/india-news/bjp-leader-sonali-phogats-brother-claims-she-was-murdered-in-goa-3282165
